arm,config,dataset,n_train,epochs,n_steps,n_params,spearman,spearman_far,spearman_mid,spearman_high,auroc,map10,rmse_high,train_loss_online,train_mse_final,spearman_sd,spearman_far_sd,spearman_mid_sd,spearman_high_sd,auroc_sd,map10_sd,rmse_high_sd,train_loss_online_sd,train_mse_final_sd
T2-matched-steps,"N=10,000 matched",SS,10000.0,89.0,7031.0,141184.0,0.9314718147635288,0.5030670171790069,0.6740210791478417,0.8171320867321773,0.9760736043095944,0.39185377705679997,0.061711383687035826,0.0002839578721361856,0.00023928053242464859,0.026739966435657375,0.13183521729684036,0.10285161732083303,0.06135773324420039,0.022850949772828526,0.03152187838006147,0.010778801647514205,1.669269619525778e-05,1.2946550366029119e-05
T2-matched-steps,"N=10,000 matched",Synth,10000.0,89.0,7031.0,141184.0,0.8946963557813649,-0.09334380967765893,0.4761393442861699,0.8244981889352382,0.9548609542379531,0.8866879624141036,0.12152109450259448,0.0002839578721361856,0.00023928053242464859,0.0021177453892708554,0.00921382269343165,0.028389065128178476,0.0020166403161645885,0.002099068430434576,0.006175399764295341,0.0016587121716635967,1.669269619525778e-05,1.2946550366029119e-05
T2-matched-steps,"N=100,000 matched",3Di,100000.0,9.0,7038.0,141184.0,0.9562418842820462,0.6466662550711836,0.7096224726484633,0.873434443949991,0.9910681426976611,0.5380165555388555,0.06908564481355355,0.005437761100381613,0.004876267016728719,0.02050826836143464,0.23560483315181116,0.04935597951999767,0.005203948761041106,0.0011570119143359723,0.011708974326267729,0.007509465040568596,4.535348443100778e-05,9.709838328211796e-05
T2-matched-steps,"N=100,000 matched",AA,100000.0,9.0,7038.0,141184.0,0.4231445498120625,0.40528162990887234,,,1.0,1.0,0.08766399991297326,0.005437761100381613,0.004876267016728719,0.009891469159726963,0.009382183701977036,,,0.0,0.0,0.011851740410822842,4.535348443100778e-05,9.709838328211796e-05
T2-matched-steps,"N=100,000 matched",SS,100000.0,9.0,7038.0,141184.0,0.9681457095745278,0.7669454711681233,0.7824438299728587,0.8561363395843781,0.9873382239298173,0.42282843030369327,0.05620441027437947,0.005437761100381613,0.004876267016728719,0.01035637557605845,0.02241558942159804,0.07032837855679619,0.012095015828642575,0.008672153514746511,0.013059086061201456,0.004358003482731802,4.535348443100778e-05,9.709838328211796e-05
T2-matched-steps,"N=100,000 matched",Synth,100000.0,9.0,7038.0,141184.0,0.9476679025620562,0.09224049120151219,0.6660905509437748,0.891478773227047,0.9799047607724445,0.9991470723835869,0.10069941545649237,0.005437761100381613,0.004876267016728719,0.0003222458708678218,0.03474135445705988,0.0035057995601215975,0.005792034709524524,0.0005304541702786063,0.000499092556353337,0.0019238353784834668,4.535348443100778e-05,9.709838328211796e-05
T2-matched-steps,"N=5,000 matched",3Di,5000.0,176.0,7040.0,141184.0,0.9235910926679883,0.49600120054598146,0.5949860777992615,0.8537363503159483,0.9889508851236534,0.48668967353013715,0.052881831781446086,7.03420513154318e-05,5.36153053243955e-05,0.014530470766480143,0.12767051594768666,0.007286762248472548,0.0031472102651468525,0.0017348604883885654,0.023749180324057276,0.0034997663156946597,3.1160828020902244e-05,2.758291814882772e-05
T2-matched-steps,"N=5,000 matched",AA,5000.0,176.0,7040.0,141184.0,0.16994884044661537,0.15552580305368544,,,0.9983484723369117,0.8233333333333333,0.1255955281859207,7.03420513154318e-05,5.36153053243955e-05,0.05994599299965079,0.06082841266758052,,,0.001411065853892217,0.047521924764610764,0.011754074063321688,3.1160828020902244e-05,2.758291814882772e-05
T2-matched-steps,"N=5,000 matched",SS,5000.0,176.0,7040.0,141184.0,0.9296365692642037,0.5558329466335244,0.6342442269425858,0.8261598293305159,0.9753664265098178,0.39380225598871155,0.07365689296113245,7.03420513154318e-05,5.36153053243955e-05,0.023703561849519224,0.04200551658346651,0.09286716789290494,0.023457589368858247,0.014479600641744795,0.032473840090111894,0.019735683640381464,3.1160828020902244e-05,2.758291814882772e-05
T2-matched-steps,"N=5,000 matched",Synth,5000.0,176.0,7040.0,141184.0,0.904798556048101,0.007446379701962828,0.505252999135635,0.844058441697892,0.9602473887342331,0.9344720520757864,0.10993963152429613,7.03420513154318e-05,5.36153053243955e-05,0.001701576184070304,0.05129050160404178,0.00609094025944883,0.006493186927353458,0.001541055028198167,0.00615187215729637,0.002648821868752264,3.1160828020902244e-05,2.758291814882772e-05
